index,speaker,text,file
119,f,i've got flamingoes ,q2ec3
120,g,okay well that's why ,q2ec3
121,g,so you need to loop it round your flamingoes ,q2ec3
122,f,uh-huh ,q2ec3
123,g,and up so you ,q2ec3
124,f,to the ruined city ,q2ec3
125,f,do you have ,q2ec3
126,g,to the ancient ruins ,q2ec3
127,g,yeah ,q2ec3
128,f,t-- uh-huh ,q2ec3
129,g,so you need to go loop it down and then all the way up to the ancient ruins ,q2ec3
130,f,right ,q2ec3
131,g,okay ,q2ec3
132,f,i'm at the ancient ruins ,q2ec3
133,g,you're at the ancient ruins ,q2ec3
134,g,okay ,q2ec3
135,g,now bend round the ancient ruins until you're just now running verti-- so you're just going up from the ancient ruins now ,q2ec3
136,g,have you got some stones at the top ,q2ec3
137,f,i've got rock fall ,q2ec3
138,g,okay ,q2ec3
139,g,right ,q2ec3
140,g,if you head it up towards the rock fall ,q2ec3
141,f,s-- right i'm ,q2ec3
142,g,so you now you now should be about two two and a half inches from the top of the map ,q2ec3
143,f,right ,q2ec3
144,f,yeah practically ,q2ec3
145,g,okay ,q2ec3
146,g,then ,q2ec3
147,g,so you're at you're at the stones now ,q2ec3
148,f,yeah ,q2ec3
149,g,okay now straight across have you got the white mountain ,q2ec3
150,f,under the stones ,q2ec3
151,f,yes i've got the white mountain ,q2ec3
152,g,under the stones ,q2ec3
153,g,so you go straight across towards the white mountain ,q2ec3
154,f,uh-huh ,q2ec3
155,g,and then climb the white mountain and go back down the other side ,q2ec3
156,g,have you got some soft furnishings store ,q2ec3
157,f,right ,q2ec3
158,f,where ,q2ec3
159,g,underneath uh ,q2ec3
160,f,just in the corner ,q2ec3
161,g,no ,q2ec3
162,f,no ,q2ec3
163,g,right underneath the white mountain ,q2ec3
164,f,no ,q2ec3
165,g,okay ,q2ec3
166,g,well you've go-- so you're at the bottom of the white mountain now ,q2ec3
167,f,yeah ,q2ec3
168,g,right er ,q2ec3
169,g,this is difficult um ,q2ec3
170,f,yo-- what about the lost steps up there ,q2ec3
171,f,do you have lost steps on that side ,q2ec3
172,g,no ,q2ec3
173,g,you don't go anywhere near them ,q2ec3
174,f,right okay ,q2ec3
175,g,no ,q2ec3
176,g,well ,q2ec3
177,g,you're now going you're going back the way you came so you need to it-- as if you're going right underneath the white mountain so come down a bit and then go right underneath it ,q2ec3
178,f,okay right ,q2ec3
179,g,about to about three inches ,q2ec3
180,f,right ,q2ec3
181,g,and now straight drop down ,q2ec3
182,g,do you have gazelles ,q2ec3
183,f,yes ,q2ec3
184,g,right ,q2ec3
185,g,straight drop down towards the gazelles ,q2ec3
186,f,right there ,q2ec3
187,g,underneath the gazelles ,q2ec3
188,f,right ,q2ec3
189,g,about three inches to the right ,q2ec3
190,f,right ,q2ec3
191,g,just and that's the end ,q2ec3
192,f,okay ,q2ec3
193,g,because you come underneath the gazelles and then you go ,q2ec3
194,f,and then you go right ,q2ec3
195,g,go go right ,q2ec3
196,g,and you stop on on nothing there's there's no mark there ,q2ec3
197,f,'kay ,q2ec3
198,f,there's a cross now ,q2ec3
199,g,okay that's the end ,q2ec3
0,g,erm we're start oop-- starting down ,q2ec2
1,g,that's the end of that ,q2ec2
2,g,erm starting above the telephone kiosk ,q2ec2
3,f,uh-huh ,q2ec2
4,g,and we're going on the let's see left-hand side of that as i'm looking at it and come directly down ,q2ec2
5,f,uh-huh ,q2ec2
6,g,below the stone circle and we come up ,q2ec2
7,f,i don't have a stone circle ,q2ec2
8,g,you don't have a stone circle ,q2ec2
9,f,no ,q2ec2
10,g,ah ,q2ec2
11,g,right okay ,q2ec2
12,g,if you come down almost to the bottom of the map that i've got ,q2ec2
13,f,uh-huh ,q2ec2
14,f,to to the left of the telephone kiosk ,q2ec2
15,g,yes ,q2ec2
16,g,to my what was my left as i'm looking at it here ,q2ec2
17,f,right ,q2ec2
18,f,okay ,q2ec2
19,g,erm and come directly down ,q2ec2
20,f,yeah ,q2ec2
21,g,and almost to the bottom ,q2ec2
22,f,uh-huh ,q2ec2
23,g,and then come across ,q2ec2
24,g,hmm ,q2ec2
25,g,do you have a farmer's gate ,q2ec2
26,f,no ,q2ec2
27,f,i have a broken gate ,q2ec2
28,g,ah right okay ,q2ec2
29,g,erm come across as far as that but still at the bottom ,q2ec2
30,f,yeah i've got it ,q2ec2
31,g,and then head up towards the left-hand side of the gate ,q2ec2
32,f,right ,q2ec2
33,f,i've gone a bit too far then ,q2ec2
34,f,okay ,q2ec2
35,g,right ,q2ec2
36,g,come across a-- th-- come round and across the top of the gate ,q2ec2
37,f,yeah ,q2ec2
38,g,erm and walk above steadily or gradually heading upwards but only slightly up to above the meadow if you've got that ,q2ec2
39,f,yeah ,q2ec2
40,f,but the meadow's below my broken gate ,q2ec2
41,g,right yes ,q2ec2
42,g,but come over the broken gate and then head over towards that ,q2ec2
43,f,that's it ,q2ec2
44,f,yeah ,q2ec2
45,g,erm once you're above that head upwards to the right-hand side of the ruined monastery if you've got that ,q2ec2
46,f,that's m-- away up ,q2ec2
47,g,mmhmm ,q2ec2
48,g,head up to the right-hand side of that but avoiding the the dead tree ,q2ec2
49,f,yeah w-- ,q2ec2
50,f,have you got a ,q2ec2
51,g,if you'll erm come above that over towards the left-hand side ,q2ec2
52,f,right ,q2ec2
53,f,yeah ,q2ec2
54,g,round down towards the top of the west lake ,q2ec2
55,f,i don't have a west lake ,q2ec2
56,g,you don't have a west lake at all ,q2ec2
57,f,no ,q2ec2
58,f,i've got i've got an east lake but i haven't got a west lake ,q2ec2
59,g,oh ,q2ec2
60,f,have you got a stile ,q2ec2
61,g,i've got a stile yes ,q2ec2
62,f,is it anywhere near that ,q2ec2
63,g,it's j-- it's directly below that ,q2ec2
64,f,uh-huh ,q2ec2
65,g,erm if you come d-- just loop down below the stile and round to the left-hand side ,q2ec2
66,f,right ,q2ec2
67,g,then come up across it to the far side of the the drawing of the stile or the stile erm head upwards erm on the map it's maybe about an inch ,q2ec2
68,f,yeah ,q2ec2
69,g,if i'm allowed to use that ,q2ec2
70,g,erm and then head diagonally down towards the bottom of the dead tree ,q2ec2
71,f,i have don't have a dead tree i have a dutch elm ,q2ec2
72,g,erm it whereabouts is that is that on ,q2ec2
73,f,it's r-- far eh way over on the right-hand side about just up from the middle of the map ,q2ec2
74,g,right okay well that i well i assume that's the same thing ,q2ec2
75,f,is it about right ,q2ec2
76,f,have you got a popular tourist spot ,q2ec2
77,g,erm no i haven't ,q2ec2
78,f,'cause at the moment if i head diagonally i i bump into the popular tourist spot ,q2ec2
79,g,i've got ,q2ec2
80,g,oh ,q2ec2
81,g,i've got a great viewpoint eh above the tree eh just below the east lake ,q2ec2
82,f,oh no ,q2ec2
83,f,i've got a rocket launch just b-- just below the east lake ,q2ec2
84,g,erm well ,q2ec2
85,f,are we heading towards the dutch elm then ,q2ec2
86,g,i would say so yes ,q2ec2
87,f,yeah okay right i suppose that ,q2ec2
88,g,and head down below that ,q2ec2
89,f,right okay right ,q2ec2
90,g,now loop round that on the right-hand side ,q2ec2
91,f,yeah got it ,q2ec2
92,g,and come over gradually to the far to the left-hand side of the tree ,q2ec2
93,f,yeah ,q2ec2
94,g,sloping slightly upwards ,q2ec2
95,f,yeah got it ,q2ec2
96,g,and then come round ,q2ec2
97,g,well i've got a great viewpoint here just below the east lake ,q2ec2
98,f,oh i've got a great viewpoint right in the top left-hand corner ,q2ec2
99,g,i've got that as well ,q2ec2
100,f,ah okay ,q2ec2
101,g,so like ,q2ec2
102,g,erm what have you got underneath the east lake ,q2ec2
103,f,rocket launch ,q2ec2
104,g,well i think we'll need to ass-- assume that's ,q2ec2
105,f,yeah ,q2ec2
106,g,to be avoided anyway ,q2ec2
107,g,so if you come round to the right-hand side of that and head upwards towards the east lake ,q2ec2
108,f,yeah ,q2ec2
109,f,so i just come round on top of the dutch elm ,q2ec2
110,g,right ,q2ec2
111,g,you're above the e-- the elm ,q2ec2
112,f,on the left-hand side ,q2ec2
113,g,on the left-hand side if you head directly upwards towards the east lake on the right-hand side ,q2ec2
114,f,okay ,q2ec2
115,g,oh oh it's on the right-hand side of my great viewpoint ,q2ec2
116,f,okay yeah ,q2ec2
117,g,right eh ,q2ec2
118,g,go almost to the edge of the lake ,q2ec2
119,f,yeah ,q2ec2
120,g,and then head eh left ,q2ec2
121,f,right ,q2ec2
122,f,so i'm i'm i'm g-- like on the bank on the bank of the east lake ,q2ec2
123,g,uh ,q2ec2
124,g,yeah ,q2ec2
125,g,maybe slight-- just slightly back from it but above what i've got as a great viewpoint ,q2ec2
126,f,okay ,q2ec2
127,f,yeah ,q2ec2
128,g,and that's my the finish ,q2ec2
129,f,that's it ,q2ec2
130,g,yep yep ,q2ec2
131,f,right ,q2ec2
132,f,so what-- what would we end just underneath the east lake do we ,q2ec2
133,f,right ,q2ec2
0,g,ehm do you have the start yeah ,q8nc8
1,f,uh-huh right ,q8nc8
2,g,and the diamond mine ,q8nc8
3,f,in the up at ,q8nc8
4,f,uh-huh ,q8nc8
5,f,up at the top to the left of the diamond mind ,q8nc8
6,g,yeah ,q8nc8
7,f,mine right ,q8nc8
8,g,ah right ,q8nc8
9,g,"if you come down to the just below the ""d"" in the diamond ",q8nc8
10,f,okay ,q8nc8
11,f,straight down ,q8nc8
12,g,yeah ,q8nc8
13,g,and then along ,q8nc8
14,g,do you have the springboks ,q8nc8
15,f,no ,q8nc8
16,g,no ,q8nc8
17,g,do you have the highest viewpoint ,q8nc8
18,f,uh-huh ,q8nc8
19,f,over in the right ,q8nc8
20,f,uh-huh ,q8nc8
21,g,yeah ,q8nc8
22,g,right ,q8nc8
23,g,if you move up very slightly to the right along to the right ,q8nc8
24,g,yeah ,q8nc8
25,g,did i say that yeah ,q8nc8
26,g,up very slightly to the right ,q8nc8
27,f,right wait a minute ,q8nc8
28,f,i'm go-- i've to go along the bottom of the diamond diamond mine first ,q8nc8
29,g,uh-huh yeah ,q8nc8
30,f,right ,q8nc8
31,g,yeah ,q8nc8
32,f,so i'm ,q8nc8
33,f,right ,q8nc8
34,g,"ehm from the ""e"" in mine ",q8nc8
35,f,uh-huh ,q8nc8
36,g,i go another maybe six centimetres in the same direction ,q8nc8
37,f,mmhmm ,q8nc8
38,g,and then move if you move around and up to the left almost vertically but not quite ,q8nc8
39,f,around ,q8nc8
40,g,uh-huh ,q8nc8
41,g,to ,q8nc8
42,f,so right i'm i'm at the moment i'm about halfway between the diamond mine and the highest viewpoint ,q8nc8
43,g,yeah right ,q8nc8
44,g,if you go along another maybe two or three centimetres then ,q8nc8
45,f,right ,q8nc8
46,g,and then up and around to the left almost vertically but not quite ,q8nc8
47,f,right oh ,q8nc8
48,g,'til you get to about level with the bottom of the mountain or hill ,q8nc8
49,f,oh right okay mmhmm ,q8nc8
50,g,okay ,q8nc8
51,g,and then just move around the top about a centimetre space between the your route and the mountain if you just go right around to the ,q8nc8
52,f,so wait a minute i'm going right round the top of the mountain then ,q8nc8
53,g,uh-huh uh-huh ,q8nc8
54,f,a cu-- just curving right round ,q8nc8
55,g,yeah ,q8nc8
56,g,until you get to the bottom of the mountain at the right-hand side ,q8nc8
57,g,you got that yeah ,q8nc8
58,f,uh-huh ,q8nc8
59,g,right ,q8nc8
60,g,now move down about f-- six centimetres ,q8nc8
61,f,just just ver-- straight down ,q8nc8
62,g,just vertically down yeah ,q8nc8
63,f,have you got the overgrown gully ,q8nc8
64,g,no ,q8nc8
65,f,all right ,q8nc8
66,f,have you got the safari truck ,q8nc8
67,g,yeah ,q8nc8
68,g,and if when you stop you should be about two centimetres above the safari truck ,q8nc8
69,f,to the right of it ,q8nc8
70,f,oh r-- ,q8nc8
71,g,yeah ,q8nc8
72,g,yeah ,q8nc8
73,f,right ,q8nc8
74,f,right ,q8nc8
75,g,and move down about forty-five degrees to the left ,q8nc8
76,g,do you have the field station ,q8nc8
77,f,no oh ,q8nc8
78,g,no ,q8nc8
79,g,if you move down about seven centimetres to the left ,q8nc8
80,f,right ,q8nc8
81,f,going across the top of the safari truck ,q8nc8
82,g,yeah yeah ,q8nc8
83,f,so going down but to the left at the same time ,q8nc8
84,g,mmhmm ,q8nc8
85,g,when you stop you should be about two centimetres from safari truck and a wee bit below it ,q8nc8
86,f,right ,q8nc8
87,g,okay ,q8nc8
88,g,and now just move along to the left ,q8nc8
89,f,in what way horizontal straight across ,q8nc8
90,g,yeah ,q8nc8
91,g,do you have the banana tree ,q8nc8
92,f,uh-huh ,q8nc8
93,g,right ,q8nc8
94,g,if you move along and round the top of that ,q8nc8
95,f,right okay ,q8nc8
96,f,so is it straight across ,q8nc8
97,g,mmhmm ,q8nc8
98,f,and then round ,q8nc8
99,g,the top of the banana tree ,q8nc8
100,g,and down on the left-hand side of it ,q8nc8
101,f,mmhmm ,q8nc8
102,g,for about twenty centimetres ,q8nc8
103,f,all right ,q8nc8
104,f,so a good bit down then ,q8nc8
105,g,yeah ,q8nc8
106,f,have you got the ,q8nc8
107,g,do you have the gold mine ,q8nc8
108,f,no ,q8nc8
109,g,no ,q8nc8
110,g,yeah ,q8nc8
111,g,about twenty centimetres then ,q8nc8
112,f,i've got the rock fall ,q8nc8
113,f,have you got that ,q8nc8
114,g,no ,q8nc8
115,f,oh ,q8nc8
116,f,right eh right just that's quite a lot then twenty centimetres i draw the line ,q8nc8
117,f,where ,q8nc8
118,f,right ,q8nc8
119,f,have you got the great lake ,q8nc8
120,g,no i don't have ,q8nc8
121,f,oh right ,q8nc8
122,g,yes sorry i do ,q8nc8
123,g,ehm ,q8nc8
124,f,so i'm am i still a good bit above the great lake ,q8nc8
125,g,you're about i'd say about ten fifteen centimetres above the great lake ,q8nc8
126,f,right okay ,q8nc8
127,f,okay ,q8nc8
128,g,right ehm ,q8nc8
129,g,if you move along ,q8nc8
130,g,do you have the rope bridge ,q8nc8
131,f,ehm uh-huh ,q8nc8
132,f,i've got one over at the right about halfway down the page ,q8nc8
133,g,uh-huh that's right ,q8nc8
134,g,if you move along horizontally about three or four centimetres ,q8nc8
135,f,mmhmm ,q8nc8
136,g,and then once you've done that move up to the rope bridge just from where you are to the rope bridge and then cross it ,q8nc8
137,f,sort of diagonally ,q8nc8
138,f,right ,q8nc8
139,f,right ,q8nc8
140,g,do you have the giraffes ,q8nc8
141,f,uh-huh ,q8nc8
142,f,i've also got some crocodiles ,q8nc8
143,g,ehm once you've crossed the rope bridge if you move out in the same direction ,q8nc8
144,f,mmhmm ,q8nc8
145,g,curving round a little to maybe two centimetres or so ,q8nc8
146,f,right ,q8nc8
147,f,mmhmm ,q8nc8
148,g,and then move vertically down to the giraffes ,q8nc8
149,f,right ,q8nc8
150,f,okay ,q8nc8
151,f,so i'm at the the right of the giraffes ,q8nc8
152,g,mmhmm ,q8nc8
153,f,okay so ,q8nc8
154,f,what do i do now ,q8nc8
155,g,"ehm you sh-- you should be around about at the ""s"" in giraffe about a centimetre below it ",q8nc8
156,f,okay ,q8nc8
157,g,and then curve round slightly for about four five centimetres ,q8nc8
158,f,what going going left ,q8nc8
159,g,going left sorry yeah ,q8nc8
160,f,so curving up the way ,q8nc8
161,g,no curving down ,q8nc8
162,f,right ,q8nc8
163,f,have you got the disused warehouse ,q8nc8
164,g,no i don't ,q8nc8
165,f,right ,q8nc8
166,f,am i going quite near the bottom of the page here then ,q8nc8
167,g,no ,q8nc8
168,g,once you once you've moved you should be about maybe five centimetres from bottom of page ,q8nc8
169,g,and start to curve up the way instead but still going left ,q8nc8
170,f,right ,q8nc8
171,f,i think i'm probably to go underneath the warehouse then ,q8nc8
172,g,mmhmm ,q8nc8
173,f,right ,q8nc8
174,g,and move that down almost vertically down but not quite for about two centimetres ,q8nc8
175,f,wait a minute where am i in relation to the great lake now then well i mean ,q8nc8
176,g,you should be about ,q8nc8
177,f,at the moment i'm about level with the great lake but about th-- two three centimetres to the right of it ,q8nc8
178,g,mm that's about okay ,q8nc8
179,f,right ,q8nc8
180,g,if you come down so you're about a centimetre below the great lake and just move underneath the great lake ,q8nc8
181,f,so i'm going back down again ,q8nc8
182,f,oh right go underneath it ,q8nc8
183,f,so just straight across then to the left ,q8nc8
184,g,straight across ,q8nc8
185,g,"until you get to the ""g"" ",q8nc8
186,f,s-- i'll just score that wee bit out then ,q8nc8
187,f,uh-huh ,q8nc8
188,g,and if you curve up to the left ehm about five centimetres ,q8nc8
189,g,do you have the rock fall ,q8nc8
190,f,uh-huh ,q8nc8
191,g,right ,q8nc8
192,g,you should you should finish about two centimetres below the rock fall and about five centimetres to the left of the rock fall ,q8nc8
193,f,right ,q8nc8
194,f,that's the finish then ,q8nc8
195,g,yeah ,q8nc8
196,f,right ,q8nc8
0,g,right ,q1nc4
1,g,so the start is at the top left-hand side of the page ,q1nc4
2,f,uh-huh ,q1nc4
3,g,do you have cliffs just to to the right ,q1nc4
4,f,to the right uh-huh ,q1nc4
5,f,stas-- sandstone cliffs ,q1nc4
6,g,mmhmm ,q1nc4
7,g,do you have a forge below the cliffs about you know an inch or so down two inches maybe ,q1nc4
8,f,er no ,q1nc4
9,g,you don't have a forge ,q1nc4
10,g,well ,q1nc4
11,g,the forge is eh below the c-- the cliffs say about two inches down ,q1nc4
12,g,okay ,q1nc4
13,g,so you go from the start slightly to your right down the way right a curve ,q1nc4
14,f,uh-huh ,q1nc4
15,f,how far down ,q1nc4
16,g,to the bottom of the cliffs ,q1nc4
17,f,right ,q1nc4
18,g,and then you start to go left go about half an inch out to the left and d-- and down about you know two and a half inches three inches ,q1nc4
19,f,s-- so how far am i from the left of the page ,q1nc4
20,g,an inch and a half ,q1nc4
21,g,if you draw that line down you'll be on the left-hand side of the forge you don't have a forge but there is one there ,q1nc4
22,f,right ,q1nc4
23,g,so now you're about ,q1nc4
24,f,no hold on a minute ,q1nc4
25,g,you should really end up about four inches down from the the cross er you know in the same line like just beneath it in fact fo-- four inches down ,q1nc4
26,g,okay ,q1nc4
27,f,right ,q1nc4
28,f,hold on wait a minute ,q1nc4
29,f,am i right under the sandstone cliffs ,q1nc4
30,g,no no ,q1nc4
31,f,no ,q1nc4
32,g,no ,q1nc4
33,g,the initial line from th-- the cross ,q1nc4
34,f,mmhmm ,q1nc4
35,g,goes right but it doesn't go as far right as the cliffs ,q1nc4
36,f,right okay ,q1nc4
37,g,it goes down to where it says cliffs ,q1nc4
38,g,okay ,q1nc4
39,f,uh-huh ,q1nc4
40,g,about a centimetre from where it says cliffs to the left-hand side of it okay then you go back left slightly until you're beneath the the start and down you know two or three inches until you're ab-- ,q1nc4
41,f,right ,q1nc4
42,f,straight down under the start ,q1nc4
43,g,yeah ,q1nc4
44,f,right ,q1nc4
45,g,until you're about you know four inches or four and a half inches or so down from the start ,q1nc4
46,f,okay ,q1nc4
47,g,do you have an old pine ,q1nc4
48,f,uh-huh ,q1nc4
49,f,in the right kind of towards the middle a bit ,q1nc4
50,g,yeah ,q1nc4
51,g,a single old pine ,q1nc4
52,f,uh-huh ,q1nc4
53,g,w-- and down down as far as that ,q1nc4
54,g,okay ,q1nc4
55,f,right ,q1nc4
56,g,but you know beneath the start ,q1nc4
57,f,uh-huh ,q1nc4
58,g,so then you go right which would be under the forge and you go up over the old pine ,q1nc4
59,g,okay ,q1nc4
60,f,right ,q1nc4
61,f,right up over the pine ,q1nc4
62,g,over the pine ,q1nc4
63,f,and i go right as far as the pine ,q1nc4
64,g,yeah more or less ,q1nc4
65,f,if you see what i mean ,q1nc4
66,g,as as long as you avoid the forge and the pine you you don't have to ,q1nc4
67,f,oh ,q1nc4
68,g,worry too much about the exact ,q1nc4
69,f,okay ,q1nc4
70,f,i don't have a forge anyway ,q1nc4
71,g,route but eh ,q1nc4
72,f,right ,q1nc4
73,f,up ,q1nc4
74,g,right ,q1nc4
75,g,so y-- once you're at the top of the pine if you go about two and a half inches three inches to the right ,q1nc4
76,g,have you got a pine forest ,q1nc4
77,f,uh-huh ,q1nc4
78,g,you have ,q1nc4
79,g,well ,q1nc4
80,g,just go down the left-hand side of the pine forest ,q1nc4
81,f,am i and am i going straight kind of along the outline of the bay ,q1nc4
82,g,you've got a bay there ,q1nc4
83,f,uh-huh ,q1nc4
84,g,i don't have a bay there ,q1nc4
85,g,it'll be at the top ,q1nc4
86,f,uh-huh ,q1nc4
87,g,have you got a bay at the bottom ,q1nc4
88,f,yeah ,q1nc4
89,g,crane bay ,q1nc4
90,f,uh-huh ,q1nc4
91,g,where's the one at the top ,q1nc4
92,f,it's just in the centre of the page at the top very top ,q1nc4
93,g,how far down ,q1nc4
94,f,erm about an inch and a half ,q1nc4
95,g,yeah well ,q1nc4
96,g,don't go much you know don't go any higher than than the the height of the old pine or or the forest that must be where the bay is i don't have a bay there but th-- the route you know must miss the bay er so you know just go along 'til you get to the pine forest more or less and then go go down on the left-hand side of the pine forest ,q1nc4
97,f,uh-huh ,q1nc4
98,f,okay ,q1nc4
99,g,okay ,q1nc4
100,g,once you're at the bottom of the pine forest just where it says pine ,q1nc4
101,f,mmhmm ,q1nc4
102,g,okay ,q1nc4
103,g,if you if you just kind of draw a draw an arc er to the right just more or less the same direction as you've been going until ,q1nc4
104,g,have you got wheatfields ,q1nc4
105,f,no ,q1nc4
106,g,on your map ,q1nc4
107,g,no well the ,q1nc4
108,f,oh yeah uh-huh ,q1nc4
109,g,you have right ,q1nc4
110,f,mmhmm ,q1nc4
111,g,well ,q1nc4
112,g,just draw the arc and stop the arc t-- you know in line with the wheatfields but beneath the pine forest ,q1nc4
113,g,okay ,q1nc4
114,f,i ,q1nc4
115,f,don't understand ,q1nc4
116,f,say that again ,q1nc4
117,g,oh two or three inches down from the pine forest ,q1nc4
118,g,okay you know ,q1nc4
119,g,it doesn't have to be an arc as long as you avoid all the obstacles i think eh if you you know if you finish up eh in line with the wheatfields ,q1nc4
120,g,okay ,q1nc4
121,g,but beneath the pine forest you if you stop drawing your line there ,q1nc4
122,g,above the bakery in other words ab-- above the eh th-- th-- th-- ,q1nc4
123,f,whe-- ,q1nc4
124,f,where is your wheatfields ,q1nc4
125,g,well er you know ,q1nc4
126,g,ca-- imagine where the forge would be on your map or it's o-- it's on mine but imagine where it would be ,q1nc4
127,f,mmhmm ,q1nc4
128,g,about two inches down from that in in between the the forge and the old pine ,q1nc4
129,f,right ,q1nc4
130,g,on the left-hand side ,q1nc4
131,g,okay ,q1nc4
132,g,so ,q1nc4
133,g,where are you now ,q1nc4
134,f,right ,q1nc4
135,f,i'm going down past the pine forest in an arch towards the wheatfields ,q1nc4
136,g,mmhmm ,q1nc4
137,g,no no no ,q1nc4
138,f,no ,q1nc4
139,g,no ,q1nc4
140,g,don't worry about the wheatfields it's just to tell you where to stop the line ,q1nc4
141,f,right okay ,q1nc4
142,g,never mind about it being an arc or a curve or anything ,q1nc4
143,f,okay ,q1nc4
144,g,just just go down the left-hand side of the pine forest ,q1nc4
145,f,right ,q1nc4
146,g,okay ,q1nc4
147,g,and once you get to the where it says pine draw a line from there to eh above the bakery but not the chimney a bit to the left of that in fact the left-hand side it must be a wee shed or whatever it is ,q1nc4
148,f,right ,q1nc4
149,g,you see what i m-- ,q1nc4
150,f,and i'm going s-- am i going straight down ,q1nc4
151,g,yeah ,q1nc4
152,g,but stop when you get just to above the bakery ,q1nc4
153,f,uh-huh ,q1nc4
154,f,right okay ,q1nc4
155,g,then just go round the bakery on the right-hand side just draw a an oval shape round the right-hand side of the bakery ,q1nc4
156,f,i'm go-- i'm going down and round ,q1nc4
157,g,yeah ,q1nc4
158,g,right round it uh-huh ,q1nc4
159,f,uh-huh ,q1nc4
160,f,right ,q1nc4
161,f,now where ,q1nc4
162,g,underneath the bakery ,q1nc4
163,f,uh-huh ,q1nc4
164,g,have you got a canal ,q1nc4
165,f,no ,q1nc4
166,g,no ,q1nc4
167,g,well ,q1nc4
168,g,the canal is about two inches to the left-hand side of the bakery but it's in line with it ,q1nc4
169,g,so once you get an inch or and a half or so past the bakery ,q1nc4
170,f,mmhmm ,q1nc4
171,g,eh take your line down to crane bay ,q1nc4
172,g,oh i've got two wheatfields that's not important is it right anyway w-- ,q1nc4
173,g,so you get to the canal right you don't have one but g-- just go down about two inches until you get to crane bay and follow follow the curve ,q1nc4
174,g,okay ,q1nc4
175,g,of crane bay ,q1nc4
176,f,uh-huh ,q1nc4
177,f,right round to the left ,q1nc4
178,g,but not don't go down just go along don't go dow-- don't go down where it it really curves away there don't don't follow that ,q1nc4
179,f,right ,q1nc4
180,f,okay ,q1nc4
181,g,so you're at the top le-- left-hand side of crane bay right n-- just northwest of where it says crane ,q1nc4
182,f,uh-huh ,q1nc4
183,g,"or the s-- where the ""c"" is ",q1nc4
184,f,uh-huh ,q1nc4
185,g,i've got wheatfields in line with where it says bay okay about an inch or so to the left of crane bay itself just in line in fact beneath where the other wheatfields were that i that i was telling you about ,q1nc4
186,f,mmhmm ,q1nc4
187,f,right okay ,q1nc4
188,g,okay ,q1nc4
189,g,so y-- you go round the round that curve and you have to go down and about an inch and a half ,q1nc4
190,g,okay ,q1nc4
191,g,to a-- to avoid the wheatfields which are just to the left of crane bay so you go down there ,q1nc4
192,g,right ,q1nc4
193,f,hmm ,q1nc4
194,g,go beneath the wheatfields in other words draw a line you know two inches or so to the left ,q1nc4
195,g,have you got a rocket warehouse ,q1nc4
196,f,uh-huh ,q1nc4
197,g,well ,q1nc4
198,g,just draw a line between well above the rocket warehouse in fact ,q1nc4
199,g,okay ,q1nc4
200,f,uh-huh ,q1nc4
201,g,an in-- an inch or so above the rocket warehouse but to the left of it go round it the same way as you went round the igloo but on the other side ,q1nc4
202,g,okay ,q1nc4
203,g,just follow it round ,q1nc4
204,f,yeah ,q1nc4
205,f,okay ,q1nc4
206,g,go down the left-hand side of the page once you've done that ,q1nc4
207,f,uh-huh ,q1nc4
208,g,have you got a lighthouse ,q1nc4
209,f,yeah ,q1nc4
210,f,kind of directly underneath the warehouse ,q1nc4
211,g,the rocket warehouse ,q1nc4
212,f,uh-huh ,q1nc4
213,g,the cross is right next to the lighthouse and just take your line to there and that's it finished ,q1nc4
214,f,it's right next to the lighthouse ,q1nc4
215,g,on the left-hand side of it ,q1nc4
216,f,right okay ,q1nc4
217,f,and just go straight down ,q1nc4
218,g,well y-- ,q1nc4
219,g,yeah that would be okay ,q1nc4
220,f,uh-huh ,q1nc4
221,g,uh-huh and just the cross is right you know the left-hand side of the lighthouse just next to it ,q1nc4
222,f,okay ,q1nc4
223,g,okay got it ,q1nc4
224,f,mmhmm ,q1nc4
225,g,right that's it finished ,q1nc4
0,g,okay ,q3nc1
1,g,shall we begin now ,q3nc1
2,f,okay ,q3nc1
3,g,okay ,q3nc1
4,g,ehm shall we call eh north ehm the top of the page ,q3nc1
5,f,right okay that's fine ,q3nc1
6,g,okay ,q3nc1
7,g,ehm go straight down south past the diamond mine 'til you get just to where the words diamond mine start ,q3nc1
8,f,mm okay ,q3nc1
9,g,"go round ehm horizontally underneath diamond mine and along past the graveyard sort of up in a sort of slightly diagonal line to where the ""d"" is in the graveyard ",q3nc1
10,g,okay ,q3nc1
11,f,eh graveyard ,q3nc1
12,g,have you got the graveyard written down ,q3nc1
13,f,no i don't have a graveyard on this one ,q3nc1
14,g,do you have diamond mine ,q3nc1
15,f,yes i've got a gold mine ,q3nc1
16,g,ah s-- ,q3nc1
17,g,you don't have diamond mine though ,q3nc1
18,f,no ,q3nc1
19,f,it's a gold mine according to this one ,q3nc1
20,f,presumably that's the same ,q3nc1
21,g,well i've got a gold mine as well you see ,q3nc1
22,f,i see mm that's interesting ,q3nc1
23,g,ehm oh dear ,q3nc1
24,g,ehm do you have a graveyard ,q3nc1
25,f,no no graveyard ,q3nc1
26,f,got eh carved stones at the top of the page ,q3nc1
27,f,and directly below the diamond sorry just beyond diamond mine below the diamond mine is the gold mine ,q3nc1
28,g,right ,q3nc1
29,g,so you've got a diamond mine and a gold mine ,q3nc1
